review_id,customer_id,product_id,rating,review_text,date,verified_purchase
1,C001,P001,5,Great product!,2024-01-01,Yes
2,C002,P002,4,Not bad.,2024-01-02,No
3,C003,P003,3,Could be better.,2024-01-03,Yes
4,C004,P004,5,Loved it!,2024-01-04,Yes
5,C005,P005,2,Terrible experience.,2024-01-05,No
6,C006,P006,4,Great product!,2024-01-06,Yes
7,C007,P007,3,Not bad.,2024-01-07,No
8,C008,P008,4,Could be better.,2024-01-08,Yes
9,C009,P009,5,Loved it!,2024-01-09,Yes
10,C010,P010,1,Terrible experience.,2024-01-10,No
11,C011,P011,5,Great product!,2024-01-11,Yes
12,C012,P012,4,Not bad.,2024-01-12,No
13,C013,P013,3,Could be better.,2024-01-13,Yes
14,C014,P014,5,Loved it!,2024-01-14,Yes
15,C015,P015,2,Terrible experience.,2024-01-15,No
16,C016,P016,4,Great product!,2024-01-16,Yes
17,C017,P017,3,Not bad.,2024-01-17,No
18,C018,P018,4,Could be better.,2024-01-18,Yes
19,C019,P019,5,Loved it!,2024-01-19,Yes
20,C020,P020,1,Terrible experience.,2024-01-20,No
21,C021,P021,5,Great product!,2024-01-21,Yes
22,C022,P022,4,Not bad.,2024-01-22,No
23,C023,P023,3,Could be better.,2024-01-23,Yes
24,C024,P024,5,Loved it!,2024-01-24,Yes
25,C025,P025,2,Terrible experience.,2024-01-25,No
26,C026,P026,4,Great product!,2024-01-26,Yes
27,C027,P027,3,Not bad.,2024-01-27,No
28,C028,P028,4,Could be better.,2024-01-28,Yes
29,C029,P029,5,Loved it!,2024-01-29,Yes
30,C030,P030,1,Terrible experience.,2024-01-30,No
31,C031,P031,5,Great product!,2024-01-31,Yes
32,C032,P032,4,Not bad.,2024-02-01,No
33,C033,P033,3,Could be better.,2024-02-02,Yes
34,C034,P034,5,Loved it!,2024-02-03,Yes
35,C035,P035,2,Terrible experience.,2024-02-04,No
36,C036,P036,4,Great product!,2024-02-05,Yes
37,C037,P037,3,Not bad.,2024-02-06,No
38,C038,P038,4,Could be better.,2024-02-07,Yes
39,C039,P039,5,Loved it!,2024-02-08,Yes
40,C040,P040,1,Terrible experience.,2024-02-09,No
41,C041,P041,5,Great product!,2024-02-10,Yes
42,C042,P042,4,Not bad.,2024-02-11,No
43,C043,P043,3,Could be better.,2024-02-12,Yes
44,C044,P044,5,Loved it!,2024-02-13,Yes
45,C045,P045,2,Terrible experience.,2024-02-14,No
46,C046,P046,4,Great product!,2024-02-15,Yes
47,C047,P047,3,Not bad.,2024-02-16,No
48,C048,P048,4,Could be better.,2024-02-17,Yes
49,C049,P049,5,Loved it!,2024-02-18,Yes
50,C050,P050,1,Terrible experience.,2024-02-19,No
51,C051,P051,5,Great product!,2024-02-20,Yes
52,C052,P052,4,Not bad.,2024-02-21,No
53,C053,P053,3,Could be better.,2024-02-22,Yes
54,C054,P054,5,Loved it!,2024-02-23,Yes
55,C055,P055,2,Terrible experience.,2024-02-24,No
56,C056,P056,4,Great product!,2024-02-25,Yes
57,C057,P057,3,Not bad.,2024-02-26,No
58,C058,P058,4,Could be better.,2024-02-27,Yes
59,C059,P059,5,Loved it!,2024-02-28,Yes
60,C060,P060,1,Terrible experience.,2024-02-29,No
61,C061,P061,5,Great product!,2024-03-01,Yes
62,C062,P062,4,Not bad.,2024-03-02,No
63,C063,P063,3,Could be better.,2024-03-03,Yes
64,C064,P064,5,Loved it!,2024-03-04,Yes
65,C065,P065,2,Terrible experience.,2024-03-05,No
66,C066,P066,4,Great product!,2024-03-06,Yes
67,C067,P067,3,Not bad.,2024-03-07,No
68,C068,P068,4,Could be better.,2024-03-08,Yes
69,C069,P069,5,Loved it!,2024-03-09,Yes
70,C070,P070,1,Terrible experience.,2024-03-10,No
71,C071,P071,5,Great product!,2024-03-11,Yes
72,C072,P072,4,Not bad.,2024-03-12,No
73,C073,P073,3,Could be better.,2024-03-13,Yes
74,C074,P074,5,Loved it!,2024-03-14,Yes
75,C075,P075,2,Terrible experience.,2024-03-15,No
76,C076,P076,4,Great product!,2024-03-16,Yes
77,C077,P077,3,Not bad.,2024-03-17,No
78,C078,P078,4,Could be better.,2024-03-18,Yes
79,C079,P079,5,Loved it!,2024-03-19,Yes
80,C080,P080,1,Terrible experience.,2024-03-20,No
81,C081,P081,5,Great product!,2024-03-21,Yes
82,C082,P082,4,Not bad.,2024-03-22,No
83,C083,P083,3,Could be better.,2024-03-23,Yes
84,C084,P084,5,Loved it!,2024-03-24,Yes
85,C085,P085,2,Terrible experience.,2024-03-25,No
86,C086,P086,4,Great product!,2024-03-26,Yes
87,C087,P087,3,Not bad.,2024-03-27,No
88,C088,P088,4,Could be better.,2024-03-28,Yes
89,C089,P089,5,Loved it!,2024-03-29,Yes
90,C090,P090,1,Terrible experience.,2024-03-30,No
91,C091,P091,5,Great product!,2024-03-31,Yes
92,C092,P092,4,Not bad.,2024-04-01,No
93,C093,P093,3,Could be better.,2024-04-02,Yes
94,C094,P094,5,Loved it!,2024-04-03,Yes
95,C095,P095,2,Terrible experience.,2024-04-04,No
96,C096,P096,4,Great product!,2024-04-05,Yes
97,C097,P097,3,Not bad.,2024-04-06,No
98,C098,P098,4,Could be better.,2024-04-07,Yes
99,C099,P099,5,Loved it!,2024-04-08,Yes
100,C100,P100,1,Terrible experience.,2024-04-09,No
